1, C60, P13
3220, C18, P1
3221, C86, P2
3222, C76, P9
3223, C66, P16
3224, C52, P15
3225, C85, P3
3226, C50, P14
3227, C62, P19
3228, C36, P2
3229, C91, P3
3230, C13, P10
3231, C48, P3
3232, C85, P5
3233, C67, P2
3234, C5, P10
3235, C9, P11
3236, C26, P7
3237, C19, P1
3238, C71, P2
3239, C88, P1
3240, C14, P1
3241, C21, P20
3242, C10, P7
3243, C9, P20
3244, C81, P14
3245, C76, P16
3246, C20, P10
3247, C79, P8
3248, C24, P18
3249, C67, P12
3250, C3, P18
3251, C24, P7
3252, C42, P2
3253, C41, P2
3254, C73, P12
3255, C81, P7
3256, C28, P9
3257, C77, P13
3258, C67, P6
3259, C66, P12
3260, C69, P14
3261, C97, P19
3262, C57, P2
3263, C6, P7
3264, C38, P11
3265, C40, P14
3266, C63, P14
3267, C65, P18
3268, C87, P15
3269, C83, P5
3270, C1, P10
3271, C7, P18
3272, C9, P6
3273, C67, P3
3274, C25, P10
3275, C53, P8
3276, C14, P13
3277, C11, P13
3278, C20, P15
3279, C27, P14
3280, C81, P20
3281, C16, P5
3282, C85, P9
3283, C76, P18
3284, C83, P7
3285, C59, P6
3286, C73, P11
3287, C72, P20
3288, C92, P17
3289, C21, P11
3290, C98, P4
3291, C31, P12
3292, C8, P4
3293, C24, P11
3294, C70, P6
3295, C31, P2
3296, C88, P15
3297, C97, P20
3298, C11, P6
3299, C73, P20
3300, C6, P9
3301, C34, P14
3302, C94, P1
3303, C94, P8
3304, C26, P4
3305, C70, P18
3306, C6, P11
3307, C94, P9
3308, C54, P11
3309, C9, P3
3310, C5, P5
3311, C22, P11
3312, C61, P3
3313, C70, P5
3314, C88, P2
3315, C99, P11
3316, C97, P10
3317, C67, P4
3318, C64, P20
3319, C85, P3
3320, C14, P16
3321, C46, P14
3322, C25, P14
3323, C36, P10
3324, C50, P8
3325, C66, P7
3326, C53, P12
3327, C51, P1
3328, C6, P11
3329, C68, P8
3330, C42, P8
3331, C21, P9
3332, C7, P8
3333, C17, P1
3334, C26, P16
3335, C24, P12
3336, C47, P16
3337, C18, P11
3338, C56, P10
3339, C46, P19
3340, C16, P4
3341, C37, P18
3342, C81, P5
3343, C67, P4
3344, C46, P7
3345, C18, P16
3346, C90, P17
3347, C18, P5
3348, C48, P14
3349, C47, P5
3350, C18, P15
3351, C78, P4
3352, C3, P15
3353, C44, P5
3354, C39, P5
3355, C36, P16
3356, C29, P16
3357, C100, P12
3358, C46, P4
3359, C31, P19
3360, C17, P14
3361, C88, P5
3362, C88, P11
3363, C12, P13
3364, C70, P3
3365, C44, P14
3366, C79, P9
3367, C57, P15
3368, C31, P10
3369, C75, P2
3370, C89, P11
3371, C8, P7
3372, C24, P20
3373, C44, P5
3374, C19, P16
3375, C76, P17
3376, C15, P1
3377, C74, P3
3378, C70, P10
3379, C91, P2
3380, C83, P10
3381, C28, P10
3382, C80, P12
3383, C97, P14
3384, C49, P13
3385, C74, P12
3386, C73, P12
3387, C19, P7
3388, C96, P18
3389, C34, P12
3390, C68, P8
3391, C14, P17
3392, C9, P11
3393, C19, P15
3394, C63, P14
3395, C77, P6
3396, C2, P10
3397, C99, P5
3398, C92, P20
3399, C36, P7
3400, C51, P15
3401, C56, P4
3402, C28, P17
3403, C23, P4
3404, C65, P12
3405, C89, P7
3406, C36, P16
3407, C62, P12
3408, C87, P16
3409, C25, P18
3410, C78, P16
3411, C70, P16
3412, C40, P9
3413, C50, P7
3414, C60, P9
3415, C84, P10
3416, C85, P18
3417, C87, P1
3418, C90, P4
3419, C8, P18
3420, C17, P8
3421, C3, P9
3422, C61, P1
3423, C42, P4
3424, C58, P14
3425, C48, P8
3426, C56, P9
3427, C28, P7
3428, C49, P6
3429, C76, P8
3430, C72, P12
3431, C84, P2
3432, C43, P17
3433, C80, P15
3434, C28, P18
3435, C16, P2
3436, C21, P10
3437, C30, P4
3438, C60, P18
3439, C84, P14
3440, C97, P18
3441, C95, P17
3442, C81, P8
3443, C94, P8
3444, C3, P7
3445, C16, P5
3446, C76, P17
3447, C36, P20
3448, C93, P17
3449, C6, P14
3450, C48, P12
3451, C48, P12
3452, C96, P13
3453, C34, P1
3454, C29, P12
3455, C63, P14
3456, C4, P14
3457, C26, P6
3458, C84, P9
3459, C38, P1
3460, C84, P5
3461, C59, P20
3462, C15, P19
3463, C18, P9
3464, C9, P20
3465, C15, P18
3466, C85, P9
3467, C62, P4
3468, C13, P7
3469, C59, P2
3470, C59, P11
3471, C82, P9
3472, C6, P13
3473, C36, P20
3474, C66, P13
3475, C38, P1
3476, C98, P10
3477, C79, P11
3478, C95, P2
3479, C8, P4
3480, C22, P2
3481, C24, P10
3482, C95, P9
3483, C34, P12
3484, C40, P7
3485, C9, P8
3486, C56, P17
3487, C15, P13
3488, C72, P2
3489, C74, P9
3490, C85, P18
3491, C25, P15
3492, C83, P10
3493, C2, P8
3494, C34, P11
3495, C98, P12
3496, C61, P17
3497, C4, P17
3498, C45, P4
3499, C54, P13
3500, C18, P5
3501, C92, P5
3502, C92, P14
3503, C58, P1
3504, C85, P8
3505, C23, P10
3506, C2, P8
3507, C17, P9
3508, C60, P8
3509, C44, P13
3510, C45, P4
3511, C12, P12
3512, C12, P13
3513, C60, P5
3514, C92, P17
3515, C21, P8
3516, C76, P16
3517, C19, P18
3518, C7, P8
3519, C59, P8
3520, C79, P12
3521, C84, P7
3522, C48, P20
3523, C44, P8
3524, C58, P6
3525, C7, P4
3526, C79, P16
3527, C34, P4
3528, C95, P13
3529, C67, P9
3530, C48, P4
3531, C20, P1
3532, C63, P3
3533, C95, P7
3534, C52, P15
3535, C25, P3
3536, C93, P6
3537, C3, P4
3538, C17, P7
3539, C64, P1
3540, C50, P19
3541, C67, P5
3542, C40, P1
3543, C6, P7
3544, C93, P17
3545, C58, P5
3546, C14, P10
3547, C18, P14
3548, C54, P3
3549, C78, P10
3550, C49, P12
3551, C23, P7
3552, C93, P4
3553, C95, P16
3554, C27, P20
3555, C27, P9
3556, C59, P11
3557, C9, P15
3558, C42, P19
3559, C9, P20
3560, C83, P7
3561, C14, P2
3562, C62, P17
3563, C8, P4
3564, C17, P13
3565, C81, P11
3566, C73, P13
3567, C47, P3
3568, C43, P15
3569, C57, P15
3570, C22, P8
3571, C69, P2
3572, C79, P6
3573, C66, P10
3574, C94, P3
3575, C59, P10
3576, C54, P19
3577, C74, P8
3578, C38, P3
3579, C56, P16
3580, C41, P7
3581, C50, P7
3582, C4, P9
3583, C72, P18
3584, C88, P19
3585, C83, P17
3586, C20, P8
3587, C54, P8
3588, C74, P14
3589, C94, P4
3590, C96, P2
3591, C59, P20
3592, C55, P8
3593, C62, P3
3594, C73, P14
3595, C58, P3
3596, C15, P16
3597, C3, P16
3598, C94, P19
3599, C22, P16
3600, C99, P20
3601, C57, P15
3602, C56, P2
3603, C80, P7
3604, C56, P6
3605, C60, P4
3606, C89, P12
3607, C75, P4
3608, C9, P11
3609, C56, P2
3610, C18, P8
3611, C94, P18
3612, C28, P20
3613, C28, P16
3614, C89, P10
3615, C16, P1
3616, C81, P3
3617, C88, P5
3618, C6, P12
3619, C21, P4
3620, C22, P4
3621, C81, P15
3622, C66, P20
3623, C93, P5
3624, C12, P6
3625, C9, P20
3626, C95, P4
3627, C100, P7
3628, C11, P7
3629, C52, P19
3630, C92, P11
3631, C41, P13
3632, C8, P14
3633, C13, P3
3634, C84, P17
3635, C96, P18
3636, C74, P18
3637, C93, P4
3638, C49, P12
3639, C86, P11
3640, C11, P18
3641, C20, P20
3642, C21, P2
3643, C75, P5
3644, C1, P7
3645, C79, P6
3646, C55, P19
3647, C64, P17
3648, C81, P16
3649, C26, P5
3650, C23, P5
3651, C73, P14
3652, C57, P20
3653, C1, P10
3654, C39, P10
3655, C55, P12
3656, C8, P10
3657, C78, P6
3658, C62, P14
3659, C77, P12
3660, C6, P2
3661, C62, P16
3662, C58, P2
3663, C85, P7
3664, C98, P5
3665, C86, P17
3666, C35, P3
3667, C22, P2
3668, C84, P15
3669, C96, P15
3670, C85, P4
3671, C17, P6
3672, C8, P19
3673, C56, P1
3674, C56, P13
3675, C97, P5
3676, C13, P5
3677, C74, P5
3678, C38, P8
3679, C16, P6
3680, C96, P2
3681, C98, P6
3682, C93, P12
3683, C39, P20
3684, C55, P14
3685, C33, P14
3686, C89, P9
3687, C80, P4
3688, C83, P5
3689, C89, P1
3690, C79, P15
3691, C46, P7
3692, C85, P19
3693, C53, P8
3694, C45, P11
3695, C92, P13
3696, C49, P12
3697, C36, P17
3698, C27, P16
3699, C67, P4
3700, C42, P4
3701, C81, P14
3702, C51, P5
3703, C31, P6
3704, C8, P12
3705, C13, P16
3706, C31, P14
3707, C88, P2
3708, C82, P7
3709, C10, P10
3710, C46, P4
3711, C30, P15
3712, C7, P12
3713, C83, P17
3714, C30, P12
3715, C15, P16
3716, C73, P19
3717, C60, P7
3718, C44, P17
3719, C74, P5
3720, C68, P7
3721, C56, P11
3722, C80, P3
3723, C7, P16
3724, C93, P15
3725, C17, P3
3726, C8, P8
3727, C19, P12
3728, C25, P5
3729, C25, P16
3730, C32, P7
3731, C46, P15
3732, C87, P1
3733, C76, P14
3734, C33, P3
3735, C94, P3
3736, C53, P13
3737, C54, P20
3738, C12, P5
3739, C9, P13
3740, C90, P15
3741, C12, P12
3742, C25, P18
3743, C10, P10
3744, C95, P3
3745, C91, P19
3746, C83, P11
3747, C78, P8
3748, C29, P18
3749, C95, P11
3750, C19, P11
3751, C24, P20
3752, C23, P15
3753, C54, P14
3754, C3, P19
3755, C57, P18
3756, C22, P10
3757, C34, P13
3758, C9, P13
3759, C60, P18
3760, C39, P19
3761, C1, P10
3762, C35, P18
3763, C77, P9
3764, C20, P2
3765, C64, P6
3766, C21, P16
3767, C3, P15
3768, C14, P18
3769, C31, P14
3770, C60, P15
3771, C99, P3
3772, C35, P11
3773, C74, P4
3774, C44, P1
3775, C22, P19
3776, C65, P11
3777, C50, P16
3778, C63, P8
3779, C65, P8
3780, C55, P1
3781, C16, P5
3782, C61, P16
3783, C1, P6
3784, C43, P17
3785, C19, P10
3786, C62, P3
3787, C72, P3
3788, C52, P3
3789, C6, P6
3790, C82, P6
3791, C12, P1
3792, C84, P18
3793, C16, P1
3794, C29, P12
3795, C37, P3
3796, C52, P8
3797, C13, P3
3798, C24, P5
3799, C46, P14
3800, C19, P20
3801, C40, P7
3802, C83, P19
3803, C27, P12
3804, C27, P20
3805, C82, P2
3806, C60, P17
3807, C38, P10
3808, C35, P11
3809, C65, P6
3810, C3, P16
3811, C31, P9
3812, C40, P6
3813, C45, P1
3814, C70, P14
3815, C99, P3
3816, C26, P20
3817, C87, P18
3818, C9, P19
3819, C74, P12
3820, C91, P11
3821, C40, P6
3822, C64, P19
3823, C36, P19
3824, C65, P9
3825, C88, P9
3826, C100, P6
3827, C51, P13
3828, C50, P19
3829, C75, P3
3830, C60, P1
3831, C41, P16
3832, C67, P11
3833, C9, P17
3834, C53, P19
3835, C88, P14
3836, C6, P10
3837, C75, P5
3838, C8, P7
3839, C100, P19
3840, C28, P7
3841, C40, P12
3842, C75, P13
3843, C11, P17
3844, C64, P6
3845, C62, P13
3846, C64, P8
3847, C71, P3
3848, C39, P7
3849, C40, P6
3850, C49, P9
3851, C19, P13
3852, C42, P9
3853, C81, P19
3854, C42, P16
3855, C93, P5
3856, C76, P4
3857, C60, P14
3858, C27, P19
3859, C29, P3
3860, C57, P1
3861, C1, P1
3862, C93, P8
3863, C25, P15
3864, C7, P6
3865, C95, P2
3866, C65, P4
3867, C15, P12
3868, C33, P12
3869, C43, P3
3870, C10, P5
3871, C91, P20
3872, C92, P15
3873, C21, P16
3874, C8, P6
3875, C90, P18
3876, C96, P10
3877, C17, P15
3878, C85, P5
3879, C2, P14
3880, C21, P18
3881, C57, P8
3882, C71, P3
3883, C61, P9
3884, C63, P15
3885, C60, P7
3886, C7, P10
3887, C44, P3
3888, C88, P1
3889, C19, P1
3890, C59, P17
3891, C32, P18
3892, C32, P4
3893, C73, P10
3894, C56, P12
3895, C61, P20
3896, C22, P5
3897, C48, P18
3898, C69, P1
3899, C84, P16
3900, C94, P20
3901, C29, P16
3902, C38, P3
3903, C91, P16
3904, C25, P2
3905, C84, P6
3906, C7, P15
3907, C68, P19
3908, C38, P16
3909, C62, P1
3910, C46, P8
3911, C81, P20
3912, C56, P17
3913, C57, P18
3914, C59, P12
3915, C15, P10
3916, C64, P1
3917, C31, P17
3918, C17, P19
3919, C37, P16
3920, C46, P19
3921, C56, P5
3922, C88, P13
3923, C11, P3
3924, C77, P17
3925, C23, P7
3926, C74, P12
3927, C19, P4
3928, C10, P9
3929, C78, P1
3930, C4, P9
3931, C94, P14
3932, C1, P12
3933, C37, P10
3934, C5, P17
3935, C72, P16
3936, C2, P5
3937, C71, P4
3938, C88, P14
3939, C55, P11
3940, C49, P10
3941, C91, P15
3942, C55, P9
3943, C36, P13
3944, C41, P17
3945, C43, P11
3946, C90, P3
3947, C23, P20
3948, C80, P18
3949, C61, P12
3950, C88, P1
3951, C53, P14
3952, C5, P15
3953, C44, P9
3954, C68, P12
3955, C35, P7
3956, C1, P11
3957, C59, P12
3958, C38, P5
3959, C23, P3
3960, C51, P12
3961, C8, P7
3962, C36, P5
3963, C83, P2
3964, C5, P20
3965, C8, P12
3966, C11, P12
3967, C88, P5
3968, C42, P19
3969, C84, P16
3970, C51, P1
3971, C13, P19
3972, C55, P9
3973, C47, P7
3974, C83, P15
3975, C93, P7
3976, C42, P17
3977, C12, P15
3978, C28, P7
3979, C4, P1
3980, C56, P4
3981, C24, P5
3982, C18, P2
3983, C78, P14
3984, C65, P3
3985, C20, P7
3986, C55, P6
3987, C90, P10
3988, C94, P1
3989, C74, P4
3990, C3, P13
3991, C42, P7
3992, C87, P3
3993, C44, P1
3994, C15, P18
3995, C27, P19
3996, C90, P10
3997, C73, P14
3998, C41, P15
3999, C16, P18
4000, C82, P1
4001, C99, P11
4002, C13, P19
4003, C4, P8
4004, C14, P19
4005, C70, P18
4006, C60, P10
4007, C45, P5
4008, C61, P15
4009, C36, P13
4010, C8, P1
4011, C17, P2
4012, C86, P20
4013, C79, P9
4014, C47, P14
4015, C92, P15
4016, C58, P5
4017, C70, P12
4018, C61, P19
4019, C68, P9
4020, C61, P6
4021, C68, P16
4022, C71, P15
4023, C73, P15
4024, C98, P9
4025, C70, P5
4026, C68, P2
4027, C37, P20
4028, C3, P14
4029, C30, P6
4030, C45, P9
4031, C60, P12
4032, C99, P5
4033, C35, P9
4034, C73, P2
4035, C89, P16
4036, C56, P12
4037, C57, P11
4038, C17, P2
4039, C52, P10
4040, C1, P5
4041, C88, P6
4042, C28, P13
4043, C49, P7
4044, C86, P12
4045, C79, P18
4046, C56, P9
4047, C36, P18
4048, C94, P3
4049, C53, P6
4050, C38, P13
4051, C75, P13
4052, C8, P3
4053, C36, P10
4054, C77, P19
4055, C2, P11
4056, C1, P14
4057, C47, P15
4058, C69, P19
4059, C16, P16
4060, C14, P19
4061, C31, P19
4062, C4, P1
4063, C6, P14
4064, C65, P20
4065, C37, P18
4066, C25, P12
4067, C52, P17
4068, C4, P15
4069, C61, P12
4070, C39, P16
4071, C60, P5
4072, C89, P15
4073, C81, P18
4074, C76, P7
4075, C53, P1
4076, C83, P12
4077, C100, P13
4078, C61, P13
4079, C72, P12
4080, C66, P2
4081, C52, P10
4082, C44, P6
4083, C33, P12
4084, C73, P1
4085, C90, P7
4086, C20, P8
4087, C36, P20
4088, C41, P6
4089, C83, P9
4090, C14, P1
4091, C78, P15
4092, C64, P13
4093, C59, P18
4094, C17, P10
4095, C74, P8
4096, C88, P3
4097, C82, P2
4098, C6, P10
4099, C80, P8
4100, C50, P20
4101, C79, P7
4102, C76, P4
4103, C29, P3
4104, C34, P7
4105, C39, P19
4106, C61, P2
4107, C85, P6
4108, C32, P2
4109, C84, P10
4110, C94, P4
4111, C75, P6
4112, C61, P2
4113, C89, P5
4114, C33, P16
4115, C18, P8
4116, C20, P10
4117, C89, P16
4118, C91, P10
4119, C86, P20
4120, C51, P19
4121, C92, P12
4122, C64, P1
4123, C80, P12
4124, C80, P20
4125, C63, P15
4126, C5, P10
4127, C77, P12
4128, C57, P16
4129, C68, P2
4130, C19, P12
4131, C27, P1
4132, C57, P5
4133, C39, P9
4134, C29, P15
4135, C49, P14
4136, C94, P11
4137, C54, P5
4138, C29, P2
4139, C81, P12
4140, C51, P20
4141, C36, P11
4142, C95, P12
4143, C32, P14
4144, C97, P15
4145, C94, P10
4146, C25, P14
4147, C46, P13
4148, C59, P1
4149, C4, P20
4150, C29, P15
4151, C93, P13
4152, C47, P15
4153, C33, P11
4154, C10, P19
4155, C16, P16
4156, C81, P9
4157, C57, P12
4158, C24, P20
4159, C75, P20
4160, C51, P13
4161, C1, P6
4162, C39, P9
4163, C53, P8
4164, C82, P8
4165, C8, P12
4166, C15, P20
4167, C58, P6
4168, C29, P20
4169, C48, P5
4170, C83, P10
4171, C32, P7
4172, C45, P17
4173, C87, P12
4174, C20, P9
4175, C69, P1
4176, C47, P9
4177, C44, P7
4178, C26, P12
4179, C80, P1
4180, C96, P12
4181, C90, P8
4182, C48, P18
4183, C74, P6
4184, C2, P3
4185, C100, P19
4186, C82, P19
4187, C90, P12
4188, C76, P5
4189, C66, P18
4190, C16, P11
4191, C5, P18
4192, C94, P16
4193, C2, P3
4194, C17, P16
4195, C76, P4
4196, C29, P7
4197, C12, P11
4198, C83, P19
4199, C47, P2
4200, C33, P17
4201, C24, P13
4202, C26, P8
4203, C39, P14
4204, C16, P9
4205, C35, P9
4206, C72, P16
4207, C91, P6
4208, C18, P13
4209, C66, P1
4210, C82, P20
4211, C99, P9
4212, C66, P11
4213, C24, P3
4214, C72, P18
4215, C72, P4
4216, C71, P17
4217, C66, P13
4218, C82, P9
4219, C21, P15
4220, C5, P8
4221, C51, P1
4222, C53, P16
4223, C54, P11
4224, C61, P2
4225, C14, P16
4226, C39, P3
4227, C9, P15
4228, C87, P20
4229, C77, P3
4230, C70, P7
4231, C10, P16
4232, C34, P9
4233, C37, P1
4234, C35, P15
4235, C3, P8
4236, C20, P18
4237, C1, P18
4238, C72, P16
4239, C61, P4
4240, C6, P2
4241, C81, P13
4242, C50, P19
4243, C50, P13
4244, C48, P10
4245, C16, P16
4246, C70, P8
4247, C92, P1
4248, C65, P19
4249, C39, P3
4250, C10, P15
4251, C28, P4
4252, C14, P12
4253, C75, P9
4254, C47, P15
4255, C53, P10
4256, C51, P1
4257, C86, P1
4258, C80, P10
4259, C43, P14
4260, C34, P2
4261, C30, P18
4262, C96, P16
4263, C52, P15
4264, C39, P15
4265, C63, P15
4266, C43, P5
4267, C42, P4
4268, C100, P10
4269, C76, P9
4270, C84, P4
4271, C99, P16
4272, C37, P11
4273, C56, P13
4274, C62, P13
4275, C28, P18
4276, C13, P4
4277, C72, P14
4278, C45, P15
4279, C18, P16
4280, C24, P1
4281, C48, P5
4282, C20, P3
4283, C29, P5
4284, C48, P20
4285, C67, P11
4286, C1, P13
4287, C11, P9
4288, C59, P1
4289, C88, P16
4290, C11, P16
4291, C16, P20
4292, C17, P3
4293, C21, P6
4294, C31, P8
4295, C63, P15
4296, C38, P12
4297, C35, P3
4298, C57, P4
4299, C99, P10
4300, C9, P10
4301, C63, P5
4302, C82, P7
4303, C1, P7
4304, C15, P6
4305, C29, P6
4306, C75, P19
4307, C43, P7
4308, C24, P6
4309, C60, P20
4310, C82, P20
4311, C78, P7
4312, C94, P6
4313, C74, P15
4314, C20, P4
4315, C78, P4
4316, C38, P5
4317, C47, P17
4318, C67, P19
4319, C93, P19
4320, C46, P5
4321, C5, P19
4322, C52, P20
4323, C41, P4
4324, C71, P2
4325, C12, P12
4326, C85, P20
4327, C13, P20
4328, C59, P15
4329, C57, P9
4330, C5, P2
4331, C1, P3
4332, C26, P18
4333, C58, P1
4334, C34, P6
4335, C9, P4
4336, C89, P4
4337, C88, P8
4338, C4, P13
4339, C56, P14
4340, C59, P7
4341, C51, P14
4342, C15, P16
4343, C16, P17
4344, C54, P13
4345, C16, P16
4346, C68, P7
4347, C18, P13
4348, C7, P5
4349, C94, P17
4350, C24, P9
4351, C68, P13
4352, C23, P10
4353, C85, P1
4354, C52, P16
4355, C71, P19
4356, C89, P14
4357, C94, P19
4358, C53, P14
4359, C20, P5
4360, C61, P14
4361, C47, P15
4362, C15, P6
4363, C12, P4
4364, C99, P3
4365, C75, P17
4366, C81, P11
4367, C23, P20
4368, C62, P3
4369, C78, P3
4370, C99, P3
4371, C97, P2
4372, C63, P3
4373, C40, P9
4374, C29, P7
4375, C88, P7
4376, C100, P15
4377, C88, P16
4378, C42, P9
4379, C22, P10
4380, C44, P7
4381, C43, P11
4382, C64, P11
4383, C32, P13
4384, C27, P8
4385, C86, P12
4386, C12, P5
4387, C63, P16
4388, C18, P3
4389, C85, P14
4390, C79, P7
4391, C29, P8
4392, C55, P4
4393, C33, P8
4394, C77, P5
4395, C83, P20
4396, C18, P5
4397, C57, P8
4398, C71, P2
4399, C32, P13
4400, C98, P6
4401, C11, P13
4402, C83, P9
4403, C46, P16
4404, C89, P9
4405, C14, P2
4406, C22, P5
4407, C97, P8
4408, C62, P19
4409, C4, P3
4410, C82, P17
4411, C91, P9
4412, C39, P9
4413, C100, P1
4414, C26, P10
4415, C40, P18
4416, C4, P20
4417, C97, P13
4418, C31, P3
4419, C8, P16
4420, C78, P6
4421, C89, P8
4422, C53, P17
4423, C4, P5
4424, C86, P2
4425, C73, P8
4426, C11, P10
4427, C23, P2
4428, C80, P19
4429, C2, P3
4430, C72, P1
4431, C89, P13
4432, C44, P5
4433, C16, P14
4434, C50, P10
4435, C47, P4
4436, C41, P19
4437, C94, P7
4438, C26, P10
4439, C70, P5
4440, C51, P6
4441, C64, P10
4442, C84, P6
4443, C55, P3
4444, C95, P9
4445, C98, P8
4446, C87, P20
4447, C48, P19
4448, C28, P16
4449, C87, P20
4450, C79, P5
4451, C75, P19
4452, C83, P5
4453, C8, P8
4454, C26, P2
4455, C47, P16
4456, C77, P12
4457, C31, P1
4458, C36, P2
4459, C23, P15
4460, C9, P13
4461, C25, P9
4462, C90, P7
4463, C14, P1
4464, C49, P13
4465, C73, P14
4466, C69, P11
4467, C92, P12
4468, C35, P9
4469, C5, P9
4470, C21, P9
4471, C52, P3
4472, C58, P7
4473, C19, P10
4474, C92, P8
4475, C52, P17
4476, C5, P19
4477, C63, P2
4478, C14, P16
4479, C25, P3
4480, C57, P14
4481, C32, P13
4482, C65, P13
4483, C93, P4
4484, C49, P15
4485, C25, P20
4486, C91, P5
4487, C84, P6
4488, C83, P9
4489, C85, P2
4490, C89, P14
4491, C59, P3
4492, C76, P1
4493, C62, P12
4494, C23, P6
4495, C71, P5
4496, C51, P10
4497, C60, P14
4498, C23, P11
4499, C99, P6
4500, C100, P12
4501, C11, P4
4502, C21, P18
4503, C100, P2
4504, C11, P9
4505, C22, P1
4506, C14, P17
4507, C91, P2
4508, C85, P14
4509, C52, P10
4510, C5, P17
4511, C13, P1
4512, C74, P9
4513, C89, P5
4514, C26, P4
4515, C86, P3
4516, C41, P3
4517, C30, P12
4518, C2, P19
4519, C94, P20
4520, C63, P10
4521, C87, P9
4522, C14, P7
4523, C96, P20
4524, C41, P2
4525, C10, P8
4526, C76, P12
4527, C77, P7
4528, C74, P15
4529, C70, P2
4530, C83, P2
4531, C39, P14
4532, C98, P2
4533, C58, P5
4534, C40, P18
4535, C100, P15
4536, C20, P17
4537, C46, P8
4538, C61, P10
4539, C39, P15
4540, C44, P15
4541, C75, P20
4542, C21, P17
4543, C64, P5
4544, C92, P19
4545, C93, P6
4546, C59, P13
4547, C36, P13
4548, C79, P18
4549, C31, P12
4550, C26, P11
4551, C18, P19
4552, C49, P9
4553, C79, P6
4554, C46, P14
4555, C68, P9
4556, C54, P19
4557, C27, P20
4558, C76, P18
4559, C24, P16
4560, C19, P20
4561, C54, P13
4562, C26, P7
4563, C16, P12
4564, C10, P17
4565, C86, P4
4566, C11, P15
4567, C55, P4
4568, C56, P10
4569, C40, P11
4570, C32, P5
4571, C55, P8
4572, C91, P20
4573, C42, P20
4574, C23, P14
4575, C91, P18
4576, C14, P5
4577, C76, P14
4578, C22, P19
4579, C73, P15
4580, C92, P12
4581, C17, P10
4582, C48, P15
4583, C60, P13
4584, C89, P5
4585, C89, P11
4586, C95, P6
4587, C22, P1
4588, C31, P13
4589, C9, P11
4590, C65, P13
4591, C36, P18
4592, C66, P18
4593, C25, P8
4594, C33, P5
4595, C48, P17
4596, C28, P16
4597, C46, P1
4598, C27, P5
4599, C16, P18
4600, C94, P13
4601, C37, P20
4602, C82, P5
4603, C41, P8
4604, C58, P11
4605, C6, P5
4606, C56, P6
4607, C43, P11
4608, C52, P2
4609, C54, P9
4610, C7, P13
4611, C89, P14
4612, C2, P4
4613, C77, P9
4614, C37, P4
4615, C63, P2
4616, C68, P10
4617, C17, P5
4618, C46, P1
4619, C85, P4
4620, C57, P6
4621, C94, P19
4622, C31, P3
4623, C99, P10
4624, C40, P9
4625, C14, P8
4626, C67, P6
4627, C66, P13
4628, C47, P7
4629, C59, P13
4630, C72, P6
4631, C77, P3
4632, C27, P15
4633, C28, P14
4634, C38, P12
4635, C71, P10
4636, C49, P9
4637, C39, P11
4638, C16, P9
4639, C20, P8
4640, C36, P9
4641, C39, P3
4642, C47, P8
4643, C40, P13
4644, C91, P4
4645, C15, P12
4646, C47, P16
4647, C96, P4
4648, C23, P11
4649, C48, P4
4650, C87, P15
4651, C96, P20
4652, C43, P2
4653, C77, P4
4654, C88, P17
4655, C51, P1
4656, C34, P19
4657, C55, P17
4658, C97, P2
4659, C19, P12
4660, C22, P2
4661, C68, P7
4662, C81, P2
4663, C93, P20
4664, C93, P16
4665, C51, P1
4666, C33, P5
4667, C34, P1
4668, C70, P13
4669, C9, P6
4670, C53, P5
4671, C2, P5
4672, C50, P3
4673, C78, P19
4674, C91, P5
4675, C6, P19
4676, C46, P13
4677, C54, P12
4678, C83, P6
4679, C5, P6
4680, C61, P12
4681, C40, P6
4682, C27, P19
4683, C22, P6
4684, C31, P18
4685, C77, P17
4686, C50, P13
4687, C28, P1
4688, C37, P4
4689, C13, P9
4690, C47, P1
4691, C79, P7
4692, C55, P2
4693, C89, P9
4694, C65, P13
4695, C16, P11
4696, C72, P11
4697, C55, P7
4698, C5, P16
4699, C7, P8
4700, C49, P18
4701, C62, P2
4702, C22, P4
4703, C15, P17
4704, C15, P5
4705, C41, P11
4706, C41, P18
4707, C96, P1
4708, C29, P7
4709, C24, P19
4710, C3, P7
4711, C58, P14
4712, C75, P13
4713, C34, P6
4714, C23, P16
4715, C88, P1
4716, C77, P15
4717, C82, P19
4718, C44, P9
4719, C55, P11
4720, C30, P11
4721, C80, P9
4722, C24, P1
4723, C60, P12
4724, C76, P19
4725, C74, P3
4726, C98, P10
4727, C38, P6
4728, C44, P9
4729, C85, P7
4730, C95, P3
4731, C8, P19
4732, C96, P1
4733, C26, P3
4734, C99, P8
4735, C75, P20
4736, C6, P4
4737, C57, P1
4738, C86, P14
4739, C61, P19
4740, C79, P13
4741, C36, P14
4742, C83, P9
4743, C96, P18
4744, C88, P11
4745, C33, P7
4746, C90, P16
4747, C40, P19
4748, C78, P2
4749, C94, P5
4750, C8, P8
4751, C5, P4
4752, C86, P18
4753, C56, P14
4754, C1, P17
4755, C47, P14
4756, C56, P15
4757, C20, P13
4758, C95, P19
4759, C24, P1
4760, C66, P1
4761, C77, P5
4762, C50, P16
4763, C8, P16
4764, C66, P14
4765, C37, P20
4766, C57, P10
4767, C12, P16
4768, C74, P9
4769, C29, P9
4770, C25, P10
4771, C34, P10
4772, C1, P3
4773, C87, P7
